Hour	Tamb	tAmbDry	relHum	vWind	dirWind	pAmb_Pa	AISZ	AISA	IT_H	IB_H	ID_H	AI_H	IT_N	AI_N	IB_N	IT_S	IB_S	ID_S	AI_S	IT_E	IB_E	ID_E	AI_E	IT_W	IB_W	ID_W	AI_W	IT_surfUser_1	IB_surfUser_1	ID_surfUser_1	IDS_surfUser_1	IDG_surfUser_1	AI_surfUser_1	IT_surfUser_2	IB_surfUser_2	ID_surfUser_2	IDS_surfUser_2	IDG_surfUser_2	AI_surfUser_2	day	bool2	oldDayTemp	hour	bool	weight	TambSmooth
3641	6.623240948	6.623240948	0.882845688	0	0	95449.51563	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.341666667	5.305821192
3642	6.608960152	6.608960152	0.883221664	0	0	95448.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.35	5.317499113
3643	6.595498562	6.595498562	0.88358696	0	0	95447.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.358333333	5.32923257
3644	6.582418442	6.582418442	0.883952179	0	0	95446.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.366666667	5.340881538
3645	6.56969595	6.56969595	0.884317398	0	0	95445.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.375	5.352446616
3646	6.55730772	6.55730772	0.884682617	0	0	95444.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.383333333	5.363927786
3647	6.545229912	6.545229912	0.885047836	0	0	95443.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.391666667	5.375324066
3648	6.533438683	6.533438683	0.885413055	0	0	95442.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.4	5.386633682
3649	6.521575451	6.521575451	0.885789032	0	0	95441.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.408333333	5.397717377
3650	6.510293961	6.510293961	0.886154327	0	0	95440.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.416666667	5.408845743
3651	6.499227047	6.499227047	0.886519547	0	0	95439.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.425	5.419877279
3652	6.488351822	6.488351822	0.886884766	0	0	95438.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.433333333	5.430807432
3653	6.477644444	6.477644444	0.887249985	0	0	95437.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.441666667	5.441630463
3654	6.46708107	6.46708107	0.887615204	0	0	95436.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.45	5.45233984
3655	6.456638336	6.456638336	0.887980499	0	0	95435.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.458333333	5.462928454
3656	6.4462924	6.4462924	0.888345718	0	0	95434.51563	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.466666667	5.473388195
3657	6.435718536	6.435718536	0.888721695	0	0	95433.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.475	5.483567238
3658	6.425496578	6.425496578	0.889086914	0	0	95432.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.483333333	5.493740137
3659	6.415299892	6.415299892	0.889452133	0	0	95431.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.491666667	5.503755097
3660	6.405104637	6.405104637	0.889817352	0	0	95430.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.5	5.513600826
